Ticker,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Market Cap (intraday),PEG Ratio (5 yr expected),Price/Book (mrq),Price/Sales (ttm),Trailing P/E,% Held by Insiders,% Held by Institutions,200-Day Moving Average,5 Year Average Dividend Yield %,50-Day Moving Average,52 Week High,52 Week Low,52-Week Change %,Avg Vol (10 day),Avg Vol (3 month),Beta (5Y Monthly),Book Value Per Share (mrq),Current Ratio (mrq),Diluted EPS (ttm),EBITDA,Ex-Dividend Date,Fiscal Year Ends,Float 8,Forward Annual Dividend Rate,Forward Annual Dividend Yield %,Gross Profit (ttm),Implied Shares Outstanding 6,Last Split Date,Last Split Factor,Levered Free Cash Flow (ttm),Most Recent Quarter (mrq),Net Income Avi to Common (ttm),Operating Cash Flow (ttm),Operating Margin (ttm) %,Payout Ratio %,Profit Margin %,Quarterly Earnings Growth (yoy) %,Quarterly Revenue Growth (yoy) %,Return on Assets (ttm) %,Return on Equity (ttm) %,Revenue (ttm),Revenue Per Share (ttm),S&P500 52-Week Change %,Shares Outstanding,Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield %
ABI.BR,168.58B,12.45,3.19,18.66,94.62B,6.35,1.56,2.33,42.45,0.4874,0.1421,54.96,0.0296,54.33,65.86,46.66,-1.55%,1.92M,1.7M,1.37,34.65,,2.16,17.18B,"May 04, 2021","Dec 31, 2020",942.35M,0.5,0.009399999999999999,27.25B,,,,,"Sep 30, 2021",4.97B,,0.2613,0.4181,0.094,-75.90%,11.4,,,52.87B,26.37,14.94%,1.74B,7.08B,3.57,90.64B,113.92,0.0,0.0
AD.AS,28.21B,5.18,0.38,13.35,29.12B,17.34,2.23,0.4,18.61,0.0005,0.5246,27.58,0.0345,29.91,31.4,21.5,22.49%,3.39M,2.86M,0.15,12.81,0.74,1.54,5.48B,"Aug 13, 2021","Jan 03, 2021",1.02B,0.83,0.0291,20.68B,,"Jul 18, 2016",16:17,2.75B,"Oct 03, 2021",1.6B,5.42B,0.0518,0.5355,0.021400000000000002,667.60%,4.0,0.0536,0.1216,75.05B,72.38,14.94%,1.01B,5.17B,5.06,19.17B,146.51,0.83,2.91
ADS.DE,47.38B,14.17,2.09,24.94,46.54B,0.59,6.04,2.09,32.69,0.10289999999999999,0.5318999999999999,282.58,,251.12,336.25,231.55,-13.79%,839.38k,641.52k,0.87,39.89,1.66,10.6,2.61B,"May 13, 2021","Dec 31, 2020",173M,3.0,0.0125,9.85B,,"Jun 06, 2006",4:1,1.87B,"Sep 30, 2021",1.44B,4.37B,0.0973,0.40490000000000004,0.09119999999999999,76.10%,3.4,0.0635,0.2005,22.65B,116.19,14.94%,192.1M,4.43B,22.95,5.27B,66.01,3.0,1.25
ADYEN.AS,46.92B,94.14,10.12,79.37,50.12B,,34.89,10.7,134.8,0.2365,0.6254,2266.42,,2113.95,2835.0,1619.0,-12.24%,113.4k,78.41k,1.13,47.17,1.42,12.01,491.11M,,"Dec 31, 2020",28.02M,,,503.63M,,,,1.06B,"Jun 30, 2021",367.95M,1.29B,0.10310000000000001,0.0,0.0794,109.20%,63.7,0.0766,0.3049,4.64B,152.76,14.94%,30.96M,3.34B,109.83,128.36M,8.94,0.0,0.0
AI.PA,84.75B,14.32,4.02,23.98,71.58B,2.38,3.75,3.4,27.61,0.026099999999999998,0.295,147.73,0.0217,152.99,160.04,124.25,7.65%,814.64k,717.95k,0.57,40.4,0.75,5.47,5.49B,"May 17, 2021","Dec 31, 2020",463.5M,2.75,0.0187,13.29B,,"Oct 09, 2019",11:10,1.9B,"Jun 30, 2021",2.6B,5.24B,0.1748,0.5027,0.1233,14.90%,5.6,0.0525,0.1407,21.06B,44.62,14.94%,474.06M,1.39B,2.94,14.61B,74.66,2.75,1.87
AIR.PA,84.00B,10.68,1.53,21.46,87.73B,1.11,9.98,1.6,20.95,0.2584,0.3148,110.64,,110.45,121.1,89.54,17.52%,1.67M,1.62M,1.92,11.18,1.15,5.33,7.71B,"Apr 20, 2020","Dec 31, 2020",582.01M,,,6.59B,,,,7.69B,"Sep 30, 2021",4.19B,8.81B,0.10460000000000001,0.0,0.07629999999999999,,-6.2,0.032400000000000005,0.7681,54.91B,69.96,14.94%,785.85M,16.65B,21.19,14.92B,169.5,0.0,0.0
ALV.DE,106.40B,,0.94,10.21,92.09B,1.09,1.13,0.8,10.84,0.0,0.3996,207.19,0.0452,213.2,230.05,182.52,13.64%,1.08M,899.91k,1.29,196.85,0.97,20.88,17.07B,"May 06, 2021","Dec 31, 2020",414.73M,9.6,0.0432,27.92B,,,,,"Sep 30, 2021",8.72B,,0.1328,0.46149999999999997,0.0728,2.30%,3.8,0.009399999999999999,0.11230000000000001,119.85B,288.44,14.94%,408.46M,21.94B,52.89,36.25B,42.47,0.0,0.0
ASML.AS,229.72B,32.78,12.34,33.67,233.24B,2.49,23.0,12.65,40.01,0.0001,0.5708,645.2,0.008199999999999999,658.59,777.5,422.25,20.79%,1.06M,828.6k,0.98,25.08,1.48,14.34,7.01B,"May 03, 2022","Dec 31, 2021",404.2M,7.4,0.0131,9.81B,,"Nov 26, 2012",77:100,7.4B,"Dec 31, 2021",5.88B,10.85B,0.35119999999999996,0.2336,0.3161,31.30%,17.2,0.1421,0.4901,18.61B,45.42,14.94%,406.47M,7.59B,18.77,4.08B,40.19,5.5,0.97
BAS.DE,78.66B,6.87,1.05,11.32,61.98B,0.79,1.57,0.83,11.54,0.0,0.2878,65.07,0.047599999999999996,63.38,72.88,57.06,-0.96%,3.61M,3.02M,1.37,42.89,1.7,6.18,13.75B,"Apr 30, 2021","Dec 31, 2020",918.26M,3.3,0.0495,14.77B,,"Jun 27, 2008",2:1,3.84B,"Sep 30, 2021",5.38B,6.01B,0.1371,0.5640999999999999,0.076,,42.4,0.07400000000000001,0.15259999999999999,74.73B,81.36,14.94%,918.48M,3.1B,3.37,19.78B,48.7,3.3,4.95
BAYN.DE,81.70B,11.26,1.9,7.86,52.03B,3.01,1.67,1.21,230.26,0.0,0.382,49.59,0.0394,48.67,57.73,43.9,-4.88%,3.52M,3.08M,1.2,31.66,1.11,0.15,19.58B,"Apr 28, 2021","Dec 31, 2020",982.42M,2.0,0.038,25.67B,,,,3.57B,"Sep 30, 2021",222M,2.79B,0.6027,8.6957,0.0034000000000000002,,15.0,0.1371,0.0076,42.96B,43.73,14.94%,982.42M,8.22B,8.37,41.77B,133.55,2.0,3.8
